Point,Latitude,Longitude,Island_shore,Habitat,LTER_site,Depth_m,Taxa,Colony_size_class,Percent_bleached,cumstress,avgTotN,avgdN15
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,1.8,Pocillopora,1,0,2.137857143,0.465,3.445
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,1.5,Pocillopora,4,10,2.137857143,0.465,3.445
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,1.6,Pocillopora,3,0,2.137857143,0.465,3.445
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,0.35,Pocillopora,2,0,2.137857143,0.465,3.445
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,0.9,Pocillopora,2,0,2.137857143,0.465,3.445
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,1.4,Pocillopora,2,10,2.137857143,0.465,3.445
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,2,Pocillopora,3,0,2.137857143,0.465,3.445
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,1.1,Pocillopora,2,0,2.137857143,0.465,3.445
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,1.2,Pocillopora,2,NA,2.137857143,0.465,3.445
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,0.6,Pocillopora,1,30,2.137857143,0.465,3.445
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,0.3,Pocillopora,4,0,2.137857143,0.465,3.445
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,1.5,Pocillopora,4,0,2.137857143,0.465,3.445
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,1.3,Pocillopora,1,60,2.137857143,0.465,3.445
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,1.9,Pocillopora,1,0,2.137857143,0.465,3.445
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,1.8,Pocillopora,1,0,2.137857143,0.465,3.445
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,2,Pocillopora,2,45,2.137857143,0.465,3.445
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,1.3,Pocillopora,5,15,2.137857143,0.465,3.445
10,-17.5752091,-149.8700014,SW,Lagoon,LTER_5,2,Pocillopora,1,90,2.137857143,0.465,3.445
100,-17.53432151,-149.9101318,SW,Lagoon,LTER_6,1.3,Pocillopora,3,0,2.137857143,0.495,3.385
100,-17.53432151,-149.9101318,SW,Lagoon,LTER_6,1.3,Pocillopora,3,0,2.137857143,0.495,3.385
100,-17.53432151,-149.9101318,SW,Lagoon,LTER_6,1.3,Pocillopora,2,0,2.137857143,0.495,3.385
100,-17.53432151,-149.9101318,SW,Lagoon,LTER_6,0.4,Pocillopora,2,0,2.137857143,0.495,3.385
100,-17.53432151,-149.9101318,SW,Lagoon,LTER_6,1.3,Pocillopora,2,0,2.137857143,0.495,3.385
100,-17.53432151,-149.9101318,SW,Lagoon,LTER_6,0.4,Pocillopora,4,0,2.137857143,0.495,3.385
100,-17.53432151,-149.9101318,SW,Lagoon,LTER_6,0.7,Pocillopora,2,0,2.137857143,0.495,3.385
100,-17.53432151,-149.9101318,SW,Lagoon,LTER_6,1,Pocillopora,2,0,2.137857143,0.495,3.385
100,-17.53432151,-149.9101318,SW,Lagoon,LTER_6,0.4,Pocillopora,4,0,2.137857143,0.495,3.385
100,-17.53432151,-149.9101318,SW,Lagoon,LTER_6,1,Pocillopora,3,0,2.137857143,0.495,3.385
100,-17.53432151,-149.9101318,SW,Lagoon,LTER_6,0.4,Pocillopora,2,0,2.137857143,0.495,3.385
100,-17.53432151,-149.9101318,SW,Lagoon,LTER_6,0.4,Pocillopora,2,0,2.137857143,0.495,3.385
100,-17.53432151,-149.9101318,SW,Lagoon,LTER_6,0.5,Pocillopora,4,0,2.137857143,0.495,3.385
100,-17.53432151,-149.9101318,SW,Lagoon,LTER_6,1.5,Pocillopora,2,0,2.137857143,0.495,3.385
100,-17.53432151,-149.9101318,SW,Lagoon,LTER_6,1.5,Pocillopora,3,20,2.137857143,0.495,3.385
100,-17.53432151,-149.9101318,SW,Lagoon,LTER_6,0.8,Pocillopora,3,0,2.137857143,0.495,3.385
100,-17.53432151,-149.9101318,SW,Lagoon,LTER_6,1.7,Pocillopora,2,0,2.137857143,0.495,3.385
