Point,Latitude,Longitude,Island_shore,Habitat,Percent_N_Jan,Percent_N_May,Percent_N_July,d15NNorm_Jan,d15NNorm_May,d15NNorm_July
1,-17.58796058,-149.850116,SW,Fringing reef,0.43,0.68,0.45,2.69,4.23,
2,-17.59042955,-149.8513141,SW,Mid lagoon,0.34,0.47,0.43,3,4.21,
3,-17.59052703,-149.861271,SW,Reef crest,0.45,0.49,0.52,3.66,4.69,
4,-17.58473849,-149.8584346,SW,Fringing reef,0.44,0.41,0.54,3.1,4.16,
5,-17.58509698,-149.8672942,SW,Reef crest,0.5,,0.47,4.4,,4.15
6,-17.57797027,-149.8731899,SW,Reef crest,0.49,0.57,0.42,3.83,4.405,3.59
7,-17.57851023,-149.8622209,SW,Fringing reef,0.42,0.46,0.5,2.31,4.14,3.53
8,-17.58234638,-149.8545238,SW,Fringing reef,0.42,,0.46,3.24,,3.48
9,-17.57452698,-149.8740018,SW,Reef crest,0.41,0.54,0.4,3.41,3.61,3.07
10,-17.5752091,-149.8700014,SW,Mid lagoon,0.42,0.51,0.47,3.07,3.82,3.58
11,-17.5727299,-149.8661581,SW,Fringing reef,0.48,0.63,0.46,3.51,4.09,3.59
12,-17.59364896,-149.8482386,SW,Reef pass,0.43,0.46,0.48,3.66,4.19,5.56
13,-17.5676907,-149.8705731,SW,Fringing reef,0.41,0.65,0.48,3.79,4.6,4.5
14,-17.58281082,-149.8662589,SW,Mid lagoon,0.36,0.51,0.48,3.39,3.08,3.515
16,-17.5869498,-149.8426075,SW,Bay,0.63,0.56,0.69,3.87,3.59,4.75
17,-17.59328585,-149.8390346,SW,Fringing reef,0.39,,0.32,2.94,,4.2
18,-17.59567268,-149.8408034,SW,Reef pass,0.49,,0.34,3.78,,4.1
19,-17.59828926,-149.8398006,SW,Reef crest,0.43,,0.36,3.61,,4.49
20,-17.60238365,-149.8303391,SW,Reef crest,0.38,,0.33,3.79,,4.04
21,-17.59344385,-149.826245,SW,Fringing reef,0.41,0.52,0.37,2.46,3.87,5.04
22,-17.60326945,-149.810896,SW,Reef crest,0.44,0.49,0.31,3.22,3.7,3.37
23,-17.5924521,-149.8151988,SW,Fringing reef,0.47,,0.38,3.37,,3.12
24,-17.59325316,-149.8095427,SW,Fringing reef,0.51,0.55,0.29,2.88,3.18,2.42
25,-17.59436904,-149.8067542,SW,Fringing reef,0.46,0.53,0.44,3.35,3.41,3.29
26,-17.59146245,-149.8037116,SE,Fringing reef,0.47,0.54,0.49,3.26,4.81,3.65
27,-17.59423829,-149.7964097,SE,Reef crest,0.32,0.42,0.32,3.36,2.99,3.32
28,-17.59882126,-149.8193942,SW,Mid lagoon,0.33,0.52,0.36,2.65,3.46,2.83
29,-17.59742064,-149.8283843,SW,Mid lagoon,0.42,0.44,0.41,3.07,3.6,5.86
30,-17.59837987,-149.8107668,SW,Mid lagoon,0.33,0.45,0.34,2.91,3.53,2.43
31,-17.59795985,-149.8038875,SW,Mid lagoon,0.3,0.45,0.35,2.69,3.45,2.87
32,-17.59291001,-149.7998923,SE,Mid lagoon,0.37,0.47,0.33,3.03,3.35,2.425
33,-17.58718274,-149.7909091,SE,Reef crest,0.39,0.41,0.41,3.63,3.31,4.06
34,-17.58067293,-149.7936002,SE,Mid lagoon,0.42,0.49,0.44,3.06,3.52,2.9
35,-17.58383224,-149.7985487,SE,Fringing reef,0.46,0.56,0.52,3.49,4.46,3.58
36,-17.57943392,-149.7968348,SE,Fringing reef,0.47,0.51,0.5,3.97,4.08,3.78
37,-17.57349375,-149.7942877,SE,Fringing reef,0.46,0.55,0.6,3.93,4.04,4.71
38,-17.56786983,-149.7925031,SE,Fringing reef,0.49,0.56,0.49,4.33,4.81,5.11
