"","habitat","site","year","Acropora","Pocillopora","Porites"
"1","Forereef","LTER 1",2005,14.1190476190476,18.6097222222222,12.2621212121212
"2","Fringing","LTER 1",2005,NA,NA,27.3764705882353
"3","Forereef","LTER 1",2006,13.7787878787879,17.925,13.7047619047619
"4","Fringing","LTER 1",2006,NA,NA,32.427027027027
"5","Forereef","LTER 1",2007,11.7313432835821,20.5142857142857,13.531746031746
"6","Fringing","LTER 1",2007,1.6,NA,19.6
"7","Forereef","LTER 1",2008,3.85,12.9028571428571,8.14477611940299
"8","Fringing","LTER 1",2008,NA,0.5,35.9909090909091
"9","Forereef","LTER 1",2009,1,5.845,4.22424242424242
"10","Fringing","LTER 1",2009,NA,NA,36.7
"11","Forereef","LTER 1",2010,0.5,0.866666666666667,1.21818181818182
"12","Fringing","LTER 1",2010,NA,0.5,38.6514285714286
"13","Forereef","LTER 1",2011,NA,0.633333333333333,1.28620689655172
"14","Fringing","LTER 1",2011,NA,NA,19.7303571428571
"15","Forereef","LTER 1",2012,0.842857142857143,1.82777777777778,1.23023255813953
"16","Fringing","LTER 1",2012,NA,NA,7.94230769230769
"17","Forereef","LTER 1",2013,1.215,5.9044776119403,2.02112676056338
"18","Fringing","LTER 1",2013,NA,NA,5.52708333333333
"19","Forereef","LTER 1",2014,1.98,13.8402777777778,2.46626506024096
"20","Fringing","LTER 1",2014,NA,NA,3.69210526315789
"21","Forereef","LTER 1",2015,2.85454545454545,24.2178082191781,2.57875
"22","Fringing","LTER 1",2015,NA,NA,3.821875
"23","Forereef","LTER 1",2016,3.7,31.0342465753425,2.85394736842105
"24","Fringing","LTER 1",2016,NA,0.6,4.48695652173913
"25","Forereef","LTER 1",2017,4.53428571428571,39.5014285714286,2.71944444444444
"26","Fringing","LTER 1",2017,NA,0.6,3.51538461538462
"27","Forereef","LTER 1",2018,4.28285714285714,42.7246575342466,3.33636363636364
"28","Fringing","LTER 1",2018,NA,NA,4.89285714285714
"29","Forereef","LTER 1",2019,4.13414634146341,47.15,3.5140625
"30","Fringing","LTER 1",2019,NA,NA,5.55
"31","Forereef","LTER 1",2020,3.01111111111111,15.4391891891892,3.68723404255319
"32","Fringing","LTER 1",2020,NA,NA,5
"33","Forereef","LTER 1",2021,3.18695652173913,15.6623188405797,3.90952380952381
