"","site","year","habitat","mean_coral_cover","mean_algae_cover","cots_density","mean_biomass_p_consumers","Acropora","Pocillopora","Porites"
"1","LTER 1",2005,"Forereef",10.2802985074627,8.14444444444444,0,NA,14.1190476190476,NA,NA
"2","LTER 1",2005,"Forereef",10.2802985074627,8.14444444444444,0,NA,NA,18.6097222222222,NA
"3","LTER 1",2005,"Forereef",10.2802985074627,8.14444444444444,0,NA,NA,NA,12.2621212121212
"4","LTER 1",2005,"Fringing",24.0230769230769,6.235,0,NA,NA,NA,27.3764705882353
"5","LTER 1",2006,"Forereef",10.2723723723724,4.85111111111111,0,0.275120339805825,13.7787878787879,NA,NA
"6","LTER 1",2006,"Forereef",10.2723723723724,4.85111111111111,0,0.275120339805825,NA,17.925,NA
"7","LTER 1",2006,"Forereef",10.2723723723724,4.85111111111111,0,0.275120339805825,NA,NA,13.7047619047619
"8","LTER 1",2006,"Fringing",32.427027027027,1.55,0,0.182938666666667,NA,NA,32.427027027027
"9","LTER 1",2007,"Forereef",10.4255952380952,2.42051282051282,0.003,0.290157666666667,11.7313432835821,NA,NA
"10","LTER 1",2007,"Forereef",10.4255952380952,2.42051282051282,0.003,0.290157666666667,NA,20.5142857142857,NA
"11","LTER 1",2007,"Forereef",10.4255952380952,2.42051282051282,0.003,0.290157666666667,NA,NA,13.531746031746
"12","LTER 1",2007,"Fringing",19.2666666666667,1.5125,0,0.113503732394366,1.6,NA,NA
"13","LTER 1",2007,"Fringing",19.2666666666667,1.5125,0,0.113503732394366,NA,NA,19.6
"14","LTER 1",2008,"Forereef",6.21443298969072,9.76119402985075,0.009,0.128487227722772,3.85,NA,NA
"15","LTER 1",2008,"Forereef",6.21443298969072,9.76119402985075,0.009,0.128487227722772,NA,12.9028571428571,NA
"16","LTER 1",2008,"Forereef",6.21443298969072,9.76119402985075,0.009,0.128487227722772,NA,NA,8.14477611940299
"17","LTER 1",2008,"Fringing",31.3210526315789,2.168,0,0.0528175159235669,NA,0.5,NA
"18","LTER 1",2008,"Fringing",31.3210526315789,2.168,0,0.0528175159235669,NA,NA,35.9909090909091
"19","LTER 1",2009,"Forereef",4.11525423728814,12.0591549295775,0.005,0.239057399103139,1,NA,NA
"20","LTER 1",2009,"Forereef",4.11525423728814,12.0591549295775,0.005,0.239057399103139,NA,5.845,NA
"21","LTER 1",2009,"Forereef",4.11525423728814,12.0591549295775,0.005,0.239057399103139,NA,NA,4.22424242424242
"22","LTER 1",2009,"Fringing",34.0780487804878,2.6952380952381,0.004,0.060896030927835,NA,NA,36.7
"23","LTER 1",2010,"Forereef",1.16730769230769,27.5857142857143,0,0.311032615384615,0.5,NA,NA
"24","LTER 1",2010,"Forereef",1.16730769230769,27.5857142857143,0,0.311032615384615,NA,0.866666666666667,NA
"25","LTER 1",2010,"Forereef",1.16730769230769,27.5857142857143,0,0.311032615384615,NA,NA,1.21818181818182
"26","LTER 1",2010,"Fringing",36.6054054054054,1.90588235294118,0.001,0.0757249032258065,NA,0.5,NA
"27","LTER 1",2010,"Fringing",36.6054054054054,1.90588235294118,0.001,0.0757249032258065,NA,NA,38.6514285714286
"28","LTER 1",2011,"Forereef",1.06428571428571,7.34782608695652,0,0.192192204724409,NA,0.633333333333333,NA
"29","LTER 1",2011,"Forereef",1.06428571428571,7.34782608695652,0,0.192192204724409,NA,NA,1.28620689655172
"30","LTER 1",2011,"Fringing",18.7542372881356,8.73714285714286,0.002,0.163773885350318,NA,NA,19.7303571428571
